Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
sauvage-dior,Sauvage,"Bergamota fresca y pimienta de entrada, corazón especiado de lavanda y un fondo amaderado de cedro y ambroxan. El clásico masculino más vendido del mundo.",Dior,Eau de Parfum,"amaderado,badge:Más vendido",TRUE,Title,Default Title,DP-001,100,125,15,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1523293182086-7651a899d37f?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
bleu-de-chanel,Bleu de Chanel,"Cítricos y menta en salida, jengibre y jazmín en el corazón, cerrando con sándalo, cedro e incienso. Elegante, versátil y atemporal.",Chanel,Eau de Parfum,amaderado,TRUE,Title,Default Title,DP-002,115,,15,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1523293182086-7651a899d37f?q=80&w=800&auto=format&fit=crop,1,Frasco de Bleu de Chanel,active
light-blue-dolce-gabbana,Light Blue,"Manzana verde y campanilla frescas, corazón floral de jazmín y rosa blanca, base amaderada suave. Ideal para el día y el clima cálido.",Dolce & Gabbana,Eau de Toilette,citrico,TRUE,Title,Default Title,DP-003,75,95,15,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1458538977777-0549b2370168?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
acqua-di-gio-armani,Acqua di Giò,"Notas marinas y cítricas de bergamota y limón, con jazmín y romero en el corazón, cerrando en almizcle y ámbar. Fresco y acuático.",Giorgio Armani,Eau de Toilette,citrico,TRUE,Title,Default Title,DP-004,85,,15,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1622618991746-fe6004db3a47?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
black-opium-ysl,Black Opium,"Café negro y pera en salida, jazmín y flor de azahar en el corazón, fondo de vainilla y pachulí. Adictivo, oriental y gourmand.",Yves Saint Laurent,Eau de Parfum,"oriental,badge:Favorito",TRUE,Title,Default Title,DP-005,105,130,15,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1594035910387-fea47794261f?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
baccarat-rouge-540,Baccarat Rouge 540,"Azafrán y jazmín sobre una base ambarada de cedro y almizcle blanco. Una fragancia de nicho, luminosa y muy reconocible.",Maison Francis Kurkdjian,Extrait de Parfum,"oriental,badge:Nicho de lujo",TRUE,Title,Default Title,DP-006,325,,10,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1458538977777-0549b2370168?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
la-vie-est-belle-lancome,La Vie Est Belle,"Grosella negra y pera en salida, iris y jazmín en el corazón, fondo dulce de haba tonka, vainilla y praliné. Floral gourmand femenino.",Lancôme,Eau de Parfum,floral,TRUE,Title,Default Title,DP-007,110,140,15,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1622618991746-fe6004db3a47?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
good-girl-carolina-herrera,Good Girl,"Almendra y café en salida, tuberosa y jazmín sambac en el corazón, cerrando en cacao, vainilla y sándalo. Intenso y sofisticado.",Carolina Herrera,Eau de Parfum,floral,TRUE,Title,Default Title,DP-008,120,,15,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1594035910387-fea47794261f?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
aventus-creed,Aventus,"Piña y bergamota frescas en salida, corazón de abedul y jazmín, fondo de almizcle, roble y vainilla ahumada. Icónico, potente y de altísima proyección.",Creed,Eau de Parfum,"amaderado,badge:Nicho de lujo",TRUE,Title,Default Title,DP-009,385,,8,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1610461888750-10bfc601b874?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
y-eau-de-parfum-ysl,Y Eau de Parfum,"Manzana y bergamota en salida, salvia e incienso en el corazón, base de haba tonka y ámbar. Moderno, adictivo y con carácter.",Yves Saint Laurent,Eau de Parfum,amaderado,TRUE,Title,Default Title,DP-010,98,,15,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1610461888750-10bfc601b874?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
one-million-paco-rabanne,One Million,"Mandarina roja y menta en salida, canela y especias en el corazón, cuero y ámbar de fondo. Atrevido, dulce y muy reconocible.",Paco Rabanne,Eau de Toilette,oriental,TRUE,Title,Default Title,DP-011,90,110,15,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1587017539504-67cfbddac569?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
