Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
lattafa-khamrah,Khamrah,"Oriental especiado. Canela, nuez moscada y bergamota en salida; corazón de dátil, praliné y nardo; fondo de vainilla, haba tonka, ámbar y mirra. El lanzamiento que convirtió a Lattafa en fenómeno mundial: dulce, especiado y de enorme estela.",Lattafa,Eau de Parfum,"oriental,badge:Más vendido",TRUE,Tamaño,100 ml,LAT-001,195000,235000,20,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1523293182086-7651a899d37f?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-khamrah-qahwa,Khamrah Qahwa,"Oriental avainillado. Canela, cardamomo y jengibre en salida; praliné, frutas confitadas y flores blancas en el corazón; fondo de vainilla, café, haba tonka y benjuí. La versión café de Khamrah: más cálida y golosa.",Lattafa,Eau de Parfum,"oriental,badge:Novedad",TRUE,Tamaño,100 ml,LAT-002,213000,,18,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1594035910387-fea47794261f?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-asad,Asad,"Amaderado especiado. Pimienta negra, tabaco y piña en salida; pachulí, café e iris en el corazón; fondo de vainilla, ámbar, maderas secas, benjuí y ládano. Potente, masculino y con una proyección que no pasa desapercibida.",Lattafa,Eau de Parfum,"amaderado,badge:Más vendido",TRUE,Tamaño,100 ml,LAT-003,183000,220000,20,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1610461888750-10bfc601b874?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-yara,Yara,"Floral gourmand. Orquídea, heliotropo y mandarina en salida; acorde goloso y frutas tropicales en el corazón; fondo de vainilla, almizcle y sándalo. Cremoso, dulce y adictivo: el favorito femenino de la casa.",Lattafa,Eau de Parfum,"floral,badge:Favorito",TRUE,Tamaño,100 ml,LAT-004,163000,195000,25,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1622618991746-fe6004db3a47?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-yara-moi,Yara Moi,"Floral gourmand más suave y luminoso que el Yara original, con un fondo cremoso de vainilla y almizcle. Ideal para uso diario y clima cálido.",Lattafa,Eau de Parfum,floral,TRUE,Tamaño,100 ml,LAT-005,177000,,18,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1541643600914-78b084683601?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-raghba,Raghba,"Oriental avainillado. Vainilla, oud y notas especiadas en salida; almizcle, incienso y azúcar en el corazón; fondo de sándalo, ámbar y almizcle. Un clásico de la casa: dulce, resinoso y de larguísima duración.",Lattafa,Eau de Parfum,oriental,TRUE,Tamaño,100 ml,LAT-006,150000,185000,22,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1458538977777-0549b2370168?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-badee-al-oud-amethyst,Bade'e Al Oud Amethyst,"Oriental amaderado con oud, frutos rojos y un fondo resinoso de ámbar y almizcle. Uno de los flankers más buscados de la línea Bade'e Al Oud.",Lattafa,Eau de Parfum,oriental,TRUE,Tamaño,100 ml,LAT-007,186000,,15,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1587017539504-67cfbddac569?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-badee-al-oud-honor-glory,Bade'e Al Oud Honor & Glory,"Oriental amaderado intenso: oud, azafrán y maderas nobles sobre un fondo ambarado. Elegante, señorial y con excelente proyección nocturna.",Lattafa,Eau de Parfum,oriental,TRUE,Tamaño,100 ml,LAT-008,193000,230000,15,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1523293182086-7651a899d37f?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-fakhar-black,Fakhar Black,"Amaderado aromático con cuero, incienso y un oud discreto sobre base de ámbar. Estructura más limpia y formal que Asad: oficina, reuniones y noche.",Lattafa,Eau de Parfum,amaderado,TRUE,Tamaño,100 ml,LAT-009,175000,,16,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1610461888750-10bfc601b874?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-eclaire,Eclaire,"Floral goloso con notas frutales, praliné y un fondo cremoso de vainilla y almizcle. Dulce, jugoso y muy fácil de llevar.",Lattafa,Eau de Parfum,floral,TRUE,Tamaño,100 ml,LAT-010,186000,,14,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1622618991746-fe6004db3a47?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-ajwad,Ajwad,"Frutal fresco unisex con frutos rojos, notas cítricas y un fondo suave de almizcle y maderas claras. Ligero, versátil y perfecto para el día.",Lattafa,Eau de Parfum,citrico,TRUE,Tamaño,60 ml,LAT-011,166000,,18,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1458538977777-0549b2370168?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-victoria,Victoria,"Oriental floral con frutas, flores blancas y un fondo cálido de vainilla y ámbar. Sofisticado y con buena permanencia.",Lattafa,Eau de Parfum,oriental,TRUE,Tamaño,100 ml,LAT-012,213000,,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1594035910387-fea47794261f?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-nebras,Nebras,"Oriental dulce unisex con notas ambaradas, vainilla y maderas. Envolvente y de gran estela, pensado para clima frío y uso nocturno.",Lattafa,Eau de Parfum,oriental,TRUE,Tamaño,100 ml,LAT-013,206000,,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1587017539504-67cfbddac569?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-angham,Angham,"Oriental floral de la línea premium de Lattafa, con flores blancas, frutas y un fondo cremoso de vainilla, ámbar y maderas.",Lattafa,Eau de Parfum,oriental,TRUE,Tamaño,100 ml,LAT-014,276000,,10,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1541643600914-78b084683601?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-gharam-pride,Gharam Pride,"Oriental gourmand de la línea premium: notas dulces, especiadas y un fondo ambarado de larga duración. Presentación de lujo.",Lattafa,Eau de Parfum,"oriental,badge:Edición premium",TRUE,Tamaño,100 ml,LAT-015,283000,,8,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1523293182086-7651a899d37f?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-ana-abiyedh-rouge,Ana Abiyedh Rouge,"Amaderado especiado con azafrán, cuero y maderas sobre fondo de almizcle. Limpio, elegante y sorprendentemente versátil.",Lattafa,Eau de Parfum,amaderado,TRUE,Tamaño,60 ml,LAT-016,160000,190000,16,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1610461888750-10bfc601b874?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-qaed-al-fursan,Qaed Al Fursan,"Amaderado frutal con piña y notas especiadas en salida, corazón de abedul y un fondo dulce de vainilla y ámbar. Fresco al inicio, cálido al secar.",Lattafa,Eau de Parfum,amaderado,TRUE,Tamaño,90 ml,LAT-017,180000,,14,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1587017539504-67cfbddac569?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
lattafa-oud-mood,Oud Mood,"Amaderado oriental centrado en el oud, con rosa, azafrán y un fondo resinoso de ámbar y almizcle. Intenso, tradicional y de larga permanencia.",Lattafa,Eau de Parfum,amaderado,TRUE,Tamaño,100 ml,LAT-018,170000,,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1594035910387-fea47794261f?q=80&w=800&auto=format&fit=crop,1,Frasco de perfume (imagen genérica de referencia),active
