id,title,description,availability,condition,price,link,image_link,brand
LAT-001,Khamrah,"Oriental especiado. Canela, nuez moscada y bergamota en salida; corazón de dátil, praliné y nardo; fondo de vainilla, haba tonka, ámbar y mirra. El lanzamiento que convirtió a Lattafa en fenómeno mundial: dulce, especiado y de enorme estela.",in stock,new,195000.00 COP,https://TU-TIENDA.myshopify.com/products/lattafa-khamrah,https://images.unsplash.com/photo-1523293182086-7651a899d37f?q=80&w=800&auto=format&fit=crop,Lattafa
LAT-002,Khamrah Qahwa,"Oriental avainillado. Canela, cardamomo y jengibre en salida; praliné, frutas confitadas y flores blancas en el corazón; fondo de vainilla, café, haba tonka y benjuí. La versión café de Khamrah: más cálida y golosa.",in stock,new,213000.00 COP,https://TU-TIENDA.myshopify.com/products/lattafa-khamrah-qahwa,https://images.unsplash.com/photo-1594035910387-fea47794261f?q=80&w=800&auto=format&fit=crop,Lattafa
LAT-003,Asad,"Amaderado especiado. Pimienta negra, tabaco y piña en salida; pachulí, café e iris en el corazón; fondo de vainilla, ámbar, maderas secas, benjuí y ládano. Potente, masculino y con una proyección que no pasa desapercibida.",in stock,new,183000.00 COP,https://TU-TIENDA.myshopify.com/products/lattafa-asad,https://images.unsplash.com/photo-1610461888750-10bfc601b874?q=80&w=800&auto=format&fit=crop,Lattafa
LAT-004,Yara,"Floral gourmand. Orquídea, heliotropo y mandarina en salida; acorde goloso y frutas tropicales en el corazón; fondo de vainilla, almizcle y sándalo. Cremoso, dulce y adictivo: el favorito femenino de la casa.",in stock,new,163000.00 COP,https://TU-TIENDA.myshopify.com/products/lattafa-yara,https://images.unsplash.com/photo-1622618991746-fe6004db3a47?q=80&w=800&auto=format&fit=crop,Lattafa
LAT-005,Yara Moi,"Floral gourmand más suave y luminoso que el Yara original, con un fondo cremoso de vainilla y almizcle. Ideal para uso diario y clima cálido.",in stock,new,177000.00 COP,https://TU-TIENDA.myshopify.com/products/lattafa-yara-moi,https://images.unsplash.com/photo-1541643600914-78b084683601?q=80&w=800&auto=format&fit=crop,Lattafa
LAT-006,Raghba,"Oriental avainillado. Vainilla, oud y notas especiadas en salida; almizcle, incienso y azúcar en el corazón; fondo de sándalo, ámbar y almizcle. Un clásico de la casa: dulce, resinoso y de larguísima duración.",in stock,new,150000.00 COP,https://TU-TIENDA.myshopify.com/products/lattafa-raghba,https://images.unsplash.com/photo-1458538977777-0549b2370168?q=80&w=800&auto=format&fit=crop,Lattafa
LAT-007,Bade'e Al Oud Amethyst,"Oriental amaderado con oud, frutos rojos y un fondo resinoso de ámbar y almizcle. Uno de los flankers más buscados de la línea Bade'e Al Oud.",in stock,new,186000.00 COP,https://TU-TIENDA.myshopify.com/products/lattafa-badee-al-oud-amethyst,https://images.unsplash.com/photo-1587017539504-67cfbddac569?q=80&w=800&auto=format&fit=crop,Lattafa
LAT-008,Bade'e Al Oud Honor & Glory,"Oriental amaderado intenso: oud, azafrán y maderas nobles sobre un fondo ambarado. Elegante, señorial y con excelente proyección nocturna.",in stock,new,193000.00 COP,https://TU-TIENDA.myshopify.com/products/lattafa-badee-al-oud-honor-glory,https://images.unsplash.com/photo-1523293182086-7651a899d37f?q=80&w=800&auto=format&fit=crop,Lattafa
LAT-009,Fakhar Black,"Amaderado aromático con cuero, incienso y un oud discreto sobre base de ámbar. Estructura más limpia y formal que Asad: oficina, reuniones y noche.",in stock,new,175000.00 COP,https://TU-TIENDA.myshopify.com/products/lattafa-fakhar-black,https://images.unsplash.com/photo-1610461888750-10bfc601b874?q=80&w=800&auto=format&fit=crop,Lattafa
LAT-010,Eclaire,"Floral goloso con notas frutales, praliné y un fondo cremoso de vainilla y almizcle. Dulce, jugoso y muy fácil de llevar.",in stock,new,186000.00 COP,https://TU-TIENDA.myshopify.com/products/lattafa-eclaire,https://images.unsplash.com/photo-1622618991746-fe6004db3a47?q=80&w=800&auto=format&fit=crop,Lattafa
LAT-011,Ajwad,"Frutal fresco unisex con frutos rojos, notas cítricas y un fondo suave de almizcle y maderas claras. Ligero, versátil y perfecto para el día.",in stock,new,166000.00 COP,https://TU-TIENDA.myshopify.com/products/lattafa-ajwad,https://images.unsplash.com/photo-1458538977777-0549b2370168?q=80&w=800&auto=format&fit=crop,Lattafa
LAT-012,Victoria,"Oriental floral con frutas, flores blancas y un fondo cálido de vainilla y ámbar. Sofisticado y con buena permanencia.",in stock,new,213000.00 COP,https://TU-TIENDA.myshopify.com/products/lattafa-victoria,https://images.unsplash.com/photo-1594035910387-fea47794261f?q=80&w=800&auto=format&fit=crop,Lattafa
